,player_id,season,age,games,passing_yards,pass_td,interception,comp_pct,receptions,receiving_yards,reception_td,rush_attempts,rushing_yards,run_td
68,00-0030035,2014,24,6,0.0,0.0,0.0,0.0,8.0,137.0,1.0,0.0,0.0,0.0
69,00-0030035,2015,25,9,0.0,0.0,0.0,0.0,12.0,144.0,0.0,4.0,89.0,0.0
70,00-0030035,2016,26,16,0.0,0.0,0.0,0.0,69.0,967.0,5.0,2.0,15.0,0.0
71,00-0030035,2017,27,16,0.0,0.0,0.0,0.0,91.0,1276.0,4.0,1.0,11.0,0.0
72,00-0030035,2018,28,16,0.0,0.0,0.0,0.0,113.0,1375.0,9.0,5.0,30.0,0.0
73,00-0030035,2019,29,10,0.0,0.0,0.0,0.0,30.0,422.0,6.0,4.0,6.0,1.0
74,00-0030035,2020,30,15,0.0,0.0,0.0,0.0,74.0,925.0,14.0,3.0,15.0,0.0
75,00-0030035,2021,31,13,0.0,0.0,0.0,0.0,67.0,726.0,10.0,1.0,2.0,0.0
76,00-0030035,2022,32,17,0.0,0.0,0.0,0.0,70.0,718.0,6.0,1.0,4.0,0.0
77,00-0030035,2023,33,17,0.0,0.0,0.0,0.0,103.0,1016.0,4.0,1.0,6.0,0.0
78,00-0036422,2020,23,10,0.0,0.0,0.0,0.0,15.0,171.0,1.0,0.0,0.0,0.0
79,00-0036422,2021,24,11,0.0,0.0,0.0,0.0,27.0,263.0,2.0,0.0,0.0,0.0
80,00-0036422,2022,25,12,0.0,0.0,0.0,0.0,18.0,207.0,1.0,0.0,0.0,0.0
81,00-0036422,2023,26,15,0.0,0.0,0.0,0.0,22.0,204.0,3.0,0.0,0.0,0.0
82,00-0025394,2012,27,16,0.0,0.0,0.0,0.0,40.0,217.0,1.0,349.0,2099.0,12.0
83,00-0025394,2013,28,14,0.0,0.0,0.0,0.0,29.0,171.0,1.0,279.0,1266.0,10.0
84,00-0025394,2014,29,1,0.0,0.0,0.0,0.0,2.0,18.0,0.0,21.0,75.0,0.0
85,00-0025394,2015,30,16,0.0,0.0,0.0,0.0,30.0,222.0,0.0,327.0,1485.0,11.0
86,00-0025394,2016,31,3,0.0,0.0,0.0,0.0,3.0,8.0,0.0,37.0,72.0,0.0
87,00-0025394,2017,32,6,0.0,0.0,0.0,0.0,11.0,70.0,0.0,156.0,529.0,2.0
88,00-0025394,2018,33,16,0.0,0.0,0.0,0.0,20.0,208.0,1.0,251.0,1042.0,7.0
89,00-0025394,2019,34,15,0.0,0.0,0.0,0.0,17.0,142.0,0.0,211.0,898.0,5.0
90,00-0025394,2020,35,16,0.0,0.0,0.0,0.0,12.0,101.0,0.0,156.0,604.0,7.0
91,00-0025394,2021,36,3,0.0,0.0,0.0,0.0,4.0,8.0,0.0,38.0,98.0,2.0
92,00-0025637,2012,26,14,0.0,0.0,0.0,0.0,23.0,245.0,0.0,221.0,1015.0,6.0
93,00-0025637,2013,27,3,0.0,0.0,0.0,0.0,7.0,42.0,0.0,41.0,186.0,2.0
94,00-0025637,2014,28,10,0.0,0.0,0.0,0.0,38.0,300.0,6.0,90.0,425.0,2.0
95,00-0025637,2015,29,6,0.0,0.0,0.0,0.0,10.0,64.0,3.0,31.0,85.0,0.0
96,00-0038579,2023,25,11,2045.0,12.0,7.0,0.58,0.0,0.0,0.0,11.0,17.0,1.0
97,00-0031743,2015,22,7,0.0,0.0,0.0,0.0,6.0,39.0,0.0,17.0,96.0,0.0
98,00-0031743,2016,23,6,0.0,0.0,0.0,0.0,3.0,29.0,0.0,20.0,109.0,0.0
99,00-0031743,2017,24,7,0.0,0.0,0.0,0.0,4.0,31.0,0.0,8.0,23.0,0.0
100,00-0032745,2017,24,5,0.0,0.0,0.0,0.0,5.0,58.0,0.0,0.0,0.0,0.0
101,00-0032745,2018,25,4,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0
102,00-0036423,2020,22,4,0.0,0.0,0.0,0.0,11.0,121.0,1.0,0.0,0.0,0.0
103,00-0036423,2021,23,13,0.0,0.0,0.0,0.0,33.0,330.0,2.0,0.0,0.0,0.0
104,00-0036423,2022,24,6,0.0,0.0,0.0,0.0,10.0,95.0,1.0,0.0,0.0,0.0
105,00-0036423,2023,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,00-0030669,2014,22,7,0.0,0.0,0.0,0.0,16.0,260.0,0.0,0.0,0.0,0.0
107,00-0030669,2015,23,14,0.0,0.0,0.0,0.0,35.0,451.0,3.0,5.0,26.0,0.0
108,00-0030669,2016,24,14,0.0,0.0,0.0,0.0,31.0,268.0,2.0,2.0,50.0,1.0
109,00-0030669,2017,25,13,0.0,0.0,0.0,0.0,42.0,554.0,3.0,3.0,6.0,0.0
110,00-0030669,2018,26,7,52.0,1.0,0.0,1.0,26.0,391.0,4.0,8.0,16.0,0.0
111,00-0030669,2019,27,13,10.0,0.0,0.0,0.333,43.0,351.0,1.0,5.0,45.0,0.0
112,00-0030669,2021,29,10,-1.0,0.0,0.0,0.0,25.0,213.0,0.0,4.0,17.0,0.0
113,00-0028116,2012,24,9,0.0,0.0,0.0,0.0,11.0,237.0,3.0,1.0,14.0,0.0
114,00-0028116,2013,25,13,0.0,0.0,0.0,0.0,18.0,365.0,2.0,3.0,-4.0,0.0
115,00-0028116,2014,26,2,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
116,00-0028116,2016,28,13,0.0,0.0,0.0,0.0,20.0,323.0,2.0,0.0,0.0,0.0
117,00-0028116,2017,29,14,0.0,0.0,0.0,0.0,19.0,260.0,2.0,0.0,0.0,0.0
118,00-0028116,2018,30,14,0.0,0.0,0.0,0.0,17.0,231.0,5.0,0.0,0.0,0.0
119,00-0037664,2022,22,16,0.0,0.0,0.0,0.0,41.0,593.0,2.0,0.0,0.0,0.0
120,00-0037664,2023,23,17,0.0,0.0,0.0,0.0,32.0,514.0,2.0,0.0,0.0,0.0
121,00-0033296,2018,24,8,0.0,0.0,0.0,0.0,1.0,5.0,0.0,9.0,15.0,2.0
122,00-0033296,2020,26,12,0.0,0.0,0.0,0.0,5.0,18.0,0.0,6.0,9.0,0.0
123,00-0033296,2021,27,5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,21.0,0.0
124,00-0033296,2023,29,3,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0
125,00-0032426,2016,22,9,0.0,0.0,0.0,0.0,11.0,84.0,0.0,31.0,125.0,1.0
126,00-0032426,2017,23,15,0.0,0.0,0.0,0.0,23.0,187.0,0.0,212.0,973.0,6.0
127,00-0032426,2018,24,10,0.0,0.0,0.0,0.0,15.0,105.0,1.0,114.0,411.0,7.0
128,00-0032426,2021,27,11,0.0,0.0,0.0,0.0,9.0,87.0,0.0,108.0,411.0,2.0
129,00-0032864,2016,23,3,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0
130,00-0032543,2016,24,6,0.0,0.0,0.0,0.0,6.0,71.0,0.0,0.0,0.0,0.0
131,00-0032543,2017,25,10,0.0,0.0,0.0,0.0,12.0,180.0,2.0,5.0,16.0,0.0
132,00-0032543,2018,26,11,0.0,0.0,0.0,0.0,20.0,167.0,0.0,3.0,22.0,0.0
133,00-0032543,2019,27,15,26.0,0.0,0.0,1.0,43.0,529.0,1.0,5.0,33.0,0.0
134,00-0032543,2020,28,9,0.0,0.0,0.0,0.0,12.0,139.0,0.0,5.0,7.0,0.0
135,00-0032543,2021,29,4,0.0,0.0,0.0,0.0,3.0,55.0,0.0,0.0,0.0,0.0
136,00-0032543,2023,31,8,0.0,0.0,0.0,0.0,16.0,227.0,1.0,0.0,0.0,0.0
137,00-0028034,2012,24,11,0.0,0.0,0.0,0.0,18.0,125.0,0.0,135.0,464.0,0.0
138,00-0028034,2013,25,4,0.0,0.0,0.0,0.0,2.0,8.0,0.0,11.0,35.0,0.0
139,00-0023436,2012,28,10,1600.0,13.0,5.0,0.632,0.0,0.0,0.0,22.0,142.0,0.0
140,00-0023436,2013,29,15,3103.0,23.0,7.0,0.567,1.0,-4.0,0.0,64.0,440.0,1.0
