playerID,year,games,passYds,passTDs,ints,compPct,rec,recYds,recTDs,rshAtt,rshYds,rshTDs
00-0031598,2015,8,0.0,0.0,0.0,0.0,18.0,155.0,0.0,0.0,0.0,0.0
00-0031598,2016,3,0.0,0.0,0.0,0.0,6.0,44.0,0.0,0.0,0.0,0.0
00-0031598,2017,15,0.0,0.0,0.0,0.0,28.0,205.0,0.0,0.0,0.0,0.0
00-0031598,2018,12,0.0,0.0,0.0,0.0,23.0,213.0,0.0,0.0,0.0,0.0
00-0031598,2019,15,0.0,0.0,0.0,0.0,31.0,321.0,2.0,0.0,0.0,0.0
00-0031598,2020,9,0.0,0.0,0.0,0.0,14.0,113.0,2.0,0.0,0.0,0.0
00-0031598,2021,2,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
00-0034791,2018,16,0.0,0.0,0.0,0.0,20.0,149.0,2.0,192.0,996.0,8.0
00-0034791,2019,16,0.0,0.0,0.0,0.0,36.0,278.0,0.0,299.0,1513.0,9.0
00-0034791,2020,12,0.0,0.0,0.0,0.0,16.0,150.0,0.0,190.0,1065.0,12.0
00-0034791,2021,14,0.0,0.0,0.0,0.0,20.0,174.0,1.0,228.0,1259.0,8.0
00-0034791,2022,17,0.0,0.0,0.0,0.0,27.0,239.0,1.0,303.0,1527.0,12.0
00-0034791,2023,2,0.0,0.0,0.0,0.0,4.0,21.0,0.0,28.0,170.0,0.0
00-0029567,2012,7,1568.0,8.0,5.0,0.563,0.0,0.0,0.0,11.0,42.0,2.0
00-0029567,2013,13,2722.0,27.0,2.0,0.58,0.0,0.0,0.0,42.0,261.0,3.0
00-0029567,2014,8,2089.0,14.0,10.0,0.583,0.0,0.0,0.0,13.0,71.0,0.0
00-0029567,2016,2,376.0,3.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0
00-0029567,2017,7,493.0,6.0,2.0,0.538,0.0,0.0,0.0,6.0,10.0,0.0
00-0029567,2018,5,1366.0,7.0,4.0,0.695,1.0,15.0,0.0,8.0,18.0,0.0
